"ID","Day","FChe","FCheChi","FCheChiN","FChi","NoTouch","Others"
"T001","Day1",1.29460260208682,5.03671261110395,5.70011593456138,3.59397140280819,81.4762334149169,2.89836403452274
"T001","Day2",0.783816494726529,1.83851074866002,3.00270877759207,2.35144948417959,89.5798513054003,2.44366318944153
"T001","Day3",0.629274965800274,9.08344733242134,9.09712722298222,4.62380300957592,74.5143638850889,2.05198358413133
"T001","Day4",1.02545968882603,6.5947666195191,8.76944837340877,5.23338048090523,76.4321074964639,1.94483734087694
"T003","Day1",0.572629747752972,0.471151058277762,1.06552623948971,0.0434908669179472,97.7602203537257,0.0869817338358945
"T003","Day2",0.171722953634803,0.114481969089868,1.14481969089868,0,97.9393245563824,0.629650829994276
"T003","Day3",2.44908056403068,1.10497237569061,0.931805063082378,0.0164921250103076,95.0853467469284,0.412303125257689
"T003","Day4",1.97919900651971,1.97143744178826,0.900341508848184,0.0853772120459485,94.2952499223843,0.768394908413536
"T005","Day1",4.36552724927443,11.1496291518865,7.16301193163496,1.40277329893583,73.5690099967752,2.35004837149307
"T005","Day2",1.45913800502728,4.00343326589418,1.28747471031819,0.803138985960395,89.8289497884863,2.61786524431365
"T005","Day3",0.84700020759809,8.32053145111065,1.76873572763131,1.57774548474154,85.5885405854266,1.8974465434918
"T005","Day4",3.06951333477104,6.73567680253037,0.9201351448494,1.32988282654015,85.8241679246639,2.1206239666451
"T007","Day1",0.254305020707695,3.36409213107607,13.1584683571896,1.85279372229892,80.0188912301097,1.35144953861803
"T007","Day2",0.435745937961595,7.30428360413589,9.74150664697193,3.41211225997046,77.3855243722304,1.72082717872969
"T007","Day3",6.08021672059598,10.482353826473,1.17390322823388,0.51170140717887,78.7719166227707,2.97990819474754
"T007","Day4",1.13684808867415,10.1463691914168,3.69475628819099,4.30581213585335,77.7461986642035,2.97001563166122
"T009","Day1",0.978947368421053,3.02105263157895,4.82105263157895,1.87368421052632,85.6263157894737,3.67894736842105
"T009","Day2",0.353374987196558,0.926969169312711,2.1407354296835,0.921847792686674,94.0233534774147,1.63371914370583
"T009","Day3",0.466583426430965,5.12584609318525,10.1268318328186,2.71406979036604,77.9720049944141,3.59466386278504
"T009","Day4",1.58068688029889,3.8511280356373,6.74665900273028,2.50754418738324,78.63917229487,6.67480959908033
"T011","Day1",1.99567040995806,3.52455689351914,6.54850493843864,1.46800162359627,84.9682045731295,1.49506156135841
"T011","Day2",1.04377937175365,3.67548849863962,8.58273559238189,0.979470690081623,83.4429878802869,2.27553796685629
"T011","Day3",1.47369479931596,3.68172216074842,5.74891861985716,4.08409616738759,83.6233779297857,1.38819032290514
"T011","Day4",2.53865336658354,2.98254364089776,6.12468827930175,2.05985037406484,85.1920199501247,1.10224438902743
"T013","Day1",1.02262380051832,2.31140996007565,9.11255866078308,12.5866778735028,63.8999789871822,11.0667507179379
"T013","Day2",0.236527520296618,2.28856357476187,21.2427283769098,8.80905197212811,52.0744102793582,15.3487182765454
"T013","Day3",1.45790554414784,3.31279945242984,10.7597535934292,11.8069815195072,63.0390143737166,9.62354551676933
"T013","Day4",2.85549881320578,4.9126087894699,12.2059987053154,3.10005034884557,67.9493634467381,8.97647989642523
"T015","Day1",0.72289156626506,4.69170800850461,5.39333805811481,4.62083628632176,81.6583982990787,2.9128277817151
"T015","Day2",4.78472128492374,7.76757997030639,2.36199217168309,3.76569037656904,67.033337832366,14.2866783641517
"T015","Day3",2.13469219115824,5.01308359730065,5.04062801267043,4.52417022448699,79.1901941881284,4.09723178625534
"T015","Day4",2.88628321654062,5.8141955179352,8.90862415874558,3.82293762575453,74.0997710400333,4.46818844099077
"T017","Day1",4.12143337496397,12.114516283985,8.03151119223749,6.75377077529061,66.0582188490729,2.92054952445
"T017","Day2",2.01011834854097,9.98283494443942,15.4078959255579,7.5074532478092,59.3504381606288,5.74125937302376
"T017","Day3",1.72457263879784,7.05965407695023,6.47975392062932,3.61555140940951,78.9319751903585,2.18849276385457
"T017","Day4",5.99101988454137,12.2450288646568,11.975625400898,6.01026298909557,61.1161000641437,2.66196279666453
"T019","Day1",9.95028512940488,4.25500804211142,11.5440853926013,10.0453282643661,51.7838865331189,12.4214066383974
"T019","Day2",8.30199192088035,4.03259506895111,9.71583786042624,5.16088591725867,65.6010586432651,7.18763058921855
"T019","Day3",2.03389830508475,10.0242130750605,7.94188861985472,14.6246973365617,55.8353510895884,9.53995157384988
"T019","Day4",1.26428027418126,1.8964204112719,2.42955064737243,1.15003808073115,61.9345011424219,31.3252094440213
