Participant_ID,Day,Treatment,PP,G,R,TA,B5_A,B5_C,B5_E,B5_N,B5_O,AB,T_D,SA_B,SA_E,N_MD,N_PD,N_TD,N_P,N_E,N_F,RW,SA,SP,Out,I,tOut,fOut,T_RW_APPS,T_EA,T_PA,T_VC,F_Angry,F_Disgusted,F_Afraid,F_Happy,F_Sad,F_Surprised,F_Neutral,F_Binary,FSum_Binary
T013,Day4,WS,0.053421252,2,1,38,28,44,20,24,37,224,13860,36,37,14,4,10,18,10,5,88.94,0,0,0,0,0,0,94.16,0,0.11,0,0.594262903,0.014572188,0.051774849,0.009785689,0.28919267,4.15E-05,0.040370212,1,1
T015,Day1,WS,-0.101107275,1,1,36,29,24,30,30,30,265,14113,38,38,15,0,10,15,15,5,16.77,2.21,2.08,41.31,0,1433.5,1.020335861,38.65,0.08,7.09,0.55,0.660047783,0.000592896,0.142156249,0.013275791,0.083568944,0.007334118,0.093024219,1,1
T015,Day2,WS,-0.239175656,1,1,36,29,24,30,30,30,265,14613,40,63,15,5,10,13,15,15,54.65,0.76,3.55,6.53,0,466.5,0.492711969,74.45,0.01,1.18,3.16,0.111084475,4.94E-05,0.153244671,0.030008418,0.391853802,0.003822677,0.309936521,1,1
T015,Day3,WS,0.163271136,1,1,36,29,24,30,30,30,265,14265,23,43,7,0,3,7,7,10,51.89,0.52,11.79,12,1.67,540.3333333,0.757097792,30.47,0,19.37,9.27,0.487404247,0.011086339,0.05956531,0.032497662,0.309647251,0.003810968,0.095988224,1,1
T015,Day4,WS,-0.042229298,1,1,36,29,24,30,30,30,265,14326,31,38,7,0,5,7,10,3,78.72,0,12.75,0,0,0,0,54.1,1,13.16,2.72,0.171916837,0.007392669,0.420815396,0.056581737,0.14562105,0.021733633,0.175938677,1,1
T017,Day1,WS,0.092970461,1,3,56,32,20,11,29,33,169,20600,35,31,10,0,10,18,10,5,79.92,0.92,0,15.07,0,1500.5,0.349514563,71.99,0,0.1,0.06,0.846981397,0.000421878,0.014856485,0.013018058,0.036141432,0.000149967,0.088430783,1,1
T017,Day2,WS,0.182922068,1,3,56,32,20,11,29,33,169,22074,28,52,15,2,10,20,10,5,80.66,0.88,0,11.54,0,823,0.489263387,77.93,0,0.15,0.09,0.701513899,0.000325863,0.091930738,0.05121854,0.088900549,0.000581022,0.065529389,1,1
T017,Day3,WS,-0.199771649,1,3,56,32,20,11,29,33,169,9304,24,24,5,0,10,15,15,5,69.97,0,0,3.28,11.29,147.5,0.773860705,52.48,0.05,2.53,12.03,0.73825464,0.000356822,0.024161385,0.021041333,0.056448622,5.20E-05,0.159685192,1,1
T017,Day4,WS,0.411420937,1,3,56,32,20,11,29,33,169,15586,28,42,15,5,15,10,15,8,95.16,0,0,1.03,0,159,0.230976517,88.22,0,2.59,0.21,0.501402113,5.94E-06,0.062164141,0.006720798,0.037241961,0.000235926,0.392229126,1,1
T019,Day1,WS,-0.225704064,1,4,32,29,42,34,19,44,272,13585,30,35,15,10,15,18,18,5,89.91,0,0,0,0,0,0,87.08,0,0,0.2,0.346316616,0.02626266,0.326143401,0.061752274,0.200718179,0.00342519,0.03538168,1,1
T019,Day2,WS,0.463222539,1,4,32,29,42,34,19,44,272,14334,31,31,15,15,15,18,15,2,85.84,0,6.34,0,0,0,0,84.77,0,0.1,0,0.213351835,0.006831126,0.382874693,0.124537267,0.219368626,0.002078432,0.05095802,1,1
T019,Day3,WS,0.961361011,1,4,32,29,42,34,19,44,272,3712,29,29,5,5,2,15,5,2,91.78,0,6.06,0,0,32,0.969827586,65.22,0,0,0,0.004087193,3.65E-06,0.463115802,0.016455123,0.349319663,0.000537235,0.166481339,1,1
T019,Day4,WS,-0.303530525,1,4,32,29,42,34,19,44,272,13087,27,25,12,10,10,18,5,2,96.24,0.86,0,0,0,0,0,95.4,0,0.19,0,0.013758437,3.78E-05,0.383385382,0.012782028,0.440674824,0.000144787,0.149216746,1,1
